model,MAE,MSE,RMSE,R2
Random Forest,1140.2674215151515,9196586.440987058,3032.587416874748,0.8726860261292625
Decision Tree,1355.23598086528,12168658.090184813,3488.360372751762,0.8315418195569693
Ridge Regression,1877.570650305013,17091819.147982657,4134.225338317042,0.7633874883498529
